,Paclitaxel,Cisplatin,Doxorubicin,Gemcitabine,5-FU
2025-12-22,337.8540003401667,253.36267888880974,150.01034075252727,162.55054415265803,159.736837949526
2025-12-23,341.0871876616762,266.60776043822045,150.33672122255462,164.82417136300316,162.3292462700177
2025-12-24,347.16717527693226,269.71504576541145,151.27815556913907,166.04101826361608,163.80094882964215
2025-12-25,367.5194063889427,269.74413187608593,152.22747550952386,167.98964613662352,165.2919611905341
2025-12-26,370.4999892468275,284.0998901236466,155.30985728695086,169.81645752071464,167.62423435121707
2025-12-27,375.69563623587646,287.4930989283124,156.06344848702423,171.5094994722504,168.9671506163557
2025-12-28,395.5919004443207,290.39998035520347,158.09603138829638,172.2583060020397,170.4461373042923
2025-12-29,398.15692512310346,306.4589710981241,160.1236907361843,175.55213269787743,172.64347728386863
2025-12-30,399.1279336464326,310.04683740513633,162.7231568251493,178.1404057943004,174.05275122856065
2025-12-31,421.744888800278,311.1989664408682,163.9842209245491,180.40079232892964,176.94750635561965
2026-01-01,429.4706229140985,329.70335041323676,166.4166727460016,181.86380895365676,179.66182014820384
2026-01-02,431.6854169640595,333.7563387255729,167.10608711989613,184.5898364251337,180.7545601078753
2026-01-03,456.68135284459413,334.9576032654187,168.9235224910251,187.35941965857432,181.60655909692446
2026-01-04,454.8199436028306,351.12663695808976,171.74176424038274,188.62872965488006,182.95318918562026
2026-01-05,457.91488564230633,353.7889633323653,172.6361230343758,190.25461311796238,186.7853591466566
2026-01-06,478.78945279759967,358.10813256733417,174.31615823259128,191.50711622218475,189.2305190804234
2026-01-07,484.3135738199689,377.9580027471735,177.06911041719152,193.34199180367798,190.22983001211472
2026-01-08,491.0825794899943,382.0320615764114,178.33311982222298,194.24147119405276,193.6253273226646
2026-01-09,522.6038303235196,386.8295205641395,180.96633543962056,195.6690336956257,197.50873687015365
2026-01-10,523.855941418859,407.4685370242253,183.19147139519177,196.20247346525014,199.90924511044793
2026-01-11,528.9463818615528,406.9486626321178,184.3707004545992,198.11249818043936,199.9905265024023
2026-01-12,562.893276070366,409.08562634407997,185.64904426747955,200.4775227714765,202.1048116300432
2026-01-13,567.4499074528266,424.89208600595856,185.53174160496536,201.62553886910598,204.55541835164604
2026-01-14,569.458295182308,427.47907071574673,187.46973010752689,203.8342282028101,208.60198367842582
2026-01-15,607.5420737729447,431.2690246645408,189.22040209456372,204.51094394256577,211.20705975480033
2026-01-16,609.948336938516,450.44291298665684,192.38561173084534,205.5048715715074,213.69295193842356
2026-01-17,617.5376622485303,454.0932999800271,194.11991908738716,208.1441987137512,216.47481329329156
2026-01-18,655.7900974550585,459.54161459351707,195.64363019930153,210.05323139138414,220.45042579681171
2026-01-19,667.2890342582771,483.56805336505397,197.18762522130874,213.45782870432234,222.26465373442915
2026-01-20,681.7968216450427,487.20610047604407,198.26308764100443,215.55824693442247,225.17084469476535
2026-01-21,721.9046164141207,489.4516483238399,201.6220117581729,217.86405525655312,227.76611884285245
2026-01-22,724.8723530578231,516.222759800994,205.36308900860286,220.51207938476307,229.04213469515975
2026-01-23,732.6756264494851,523.2078104380848,206.64189612246315,222.8669391840035,230.1548549960931
2026-01-24,778.1179300346462,531.7911175236238,208.0841299891181,225.1402064927578,232.74794309959282
2026-01-25,788.3511964830116,556.9260215331802,209.68372197798448,227.0276027200125,234.9107156562704
2026-01-26,793.2581572733335,557.3541270997572,211.1235160377188,226.82454731661426,236.14275856538072
2026-01-27,839.1336381088936,564.1188947164792,213.65809609312606,229.04413447612404,238.76541485676256
2026-01-28,847.1690577271235,587.4143455287821,216.54733247724036,230.20073798675887,242.25006766847207
2026-01-29,856.9750564822259,593.1730244151967,216.89461197518702,232.84089617272124,243.8240187921342
2026-01-30,904.8185422554758,595.7319143627864,221.14333416961261,236.3151689549163,245.47959007697688
2026-01-31,913.3383304354045,625.7912293363531,223.74785092126416,236.82448988358306,246.2101554091256
2026-02-01,922.1547968332846,627.5685822034033,224.9056699579501,240.29029882660504,248.72458817816283
2026-02-02,982.4012188027509,631.8406853910766,226.07781432916093,242.8050470494743,252.30270528973952
2026-02-03,991.8682244828082,661.6869983605278,227.5704911068673,244.68740280067925,253.76713973136847
2026-02-04,1007.6567212024398,668.8080661331377,230.05189448935744,247.89701971926456,256.2875130927723
2026-02-05,1073.4848638450626,679.9684697979113,235.27857022703876,250.17191477530164,257.3527094195433
2026-02-06,1074.6788057652013,716.0184358383615,239.54616952637645,252.18400087716378,261.0406830935211
2026-02-07,1084.2175135934767,721.6436741750249,242.11528052669516,252.799063068249,262.3894713333186
2026-02-08,1157.9618951342468,732.8854624467233,244.64270408457085,255.12072572433405,263.78903321511007
2026-02-09,1164.173536764082,771.8141106966631,245.79151100893233,258.5915503849658,267.72789631175675
2026-02-10,1177.4602415546055,770.2171525450015,248.2079963021163,260.26432167987446,271.56302272409386
2026-02-11,1252.6229399270453,775.5895332419994,251.19031893072537,263.36581127631825,276.6830432902144
2026-02-12,1266.114891961667,813.1018341553237,252.85935158276445,264.2610344185097,283.15595703189985
2026-02-13,1276.4054112983606,819.6415140594909,253.81167898863913,265.6641938971203,284.5419477837716
2026-02-14,1355.6684541506843,826.5921017202863,256.85984270569946,267.32605271007543,289.425726171978
2026-02-15,1365.4490866796684,867.658002510913,259.03641478085433,267.82651316365127,288.31709033381776
2026-02-16,1374.214562301462,880.5218266937999,261.8337444624949,270.2660087210623,290.37494160728727
2026-02-17,1465.953715548876,896.7746537280274,265.91814481594133,273.9151833381965,292.00512522651155
2026-02-18,1478.433913200181,942.5399500243682,267.9665103154263,277.43275993188087,294.4483439351638
2026-02-19,1511.0214832577926,952.0801739169999,268.0382182782886,280.10595871624287,297.8335058581968
2026-02-20,1592.7972980587385,967.6876677194432,271.25046176141575,282.5947180470406,299.26777383187004
2026-02-21,1609.825522421476,1008.6584914184012,275.6006063530835,284.3087507504087,302.76873289811857
2026-02-22,1619.4130994055954,1014.0671135554082,277.7016697524313,290.02406546176,306.5543052100952
2026-02-23,1726.2223559695378,1023.4828746024084,280.91325029322314,292.1567108530202,312.1056122754619
2026-02-24,1733.661630101112,1074.9303186110137,281.8316978040604,295.24165628983303,314.69693946333035
2026-02-25,1760.942213881928,1089.0636793372084,281.6598465816624,298.1653491885048,318.4469062832722
2026-02-26,1876.7829140405538,1097.4902168511421,285.6911753767701,299.92203265227005,321.86088710838055
2026-02-27,1885.71752964753,1154.888645922755,286.8892370844093,301.54301548039496,326.0811026647158
2026-02-28,1901.3034846122448,1176.3417864716478,288.8100803138017,306.7164770019823,326.0814103618839
2026-03-01,2023.4083221925182,1192.5449020811247,292.0000483391076,311.9152029197903,331.6196088138706
2026-03-02,2053.519043693542,1269.3148111150736,295.51198678784885,315.4429006679515,332.6739418523507
2026-03-03,2080.3695883299797,1280.0498864251674,298.347309197006,317.571640118077,335.3900665905267
2026-03-04,2206.58834993701,1292.1368280796746,302.60943642497506,321.66747680797937,338.9946133517375
2026-03-05,2252.3522636377306,1362.3951510655431,303.16131587673067,324.85159325905926,344.5322204935761
2026-03-06,2288.604595805271,1376.1685114347451,306.2366374086503,326.53132349665117,347.71722866880833
2026-03-07,2418.5823012988576,1388.5502348155476,309.3177331575107,330.5373183787661,350.2041463798909
2026-03-08,2443.3592499419738,1455.1845589375803,313.48262245517884,337.4757172603991,355.18890921026536
2026-03-09,2493.407533018672,1471.4357302923452,315.4041258910961,339.36277648009036,362.1987186640646
2026-03-10,2652.9517225778914,1482.5500311658784,318.96351961175924,343.9092384655472,365.3559690335937
2026-03-11,2680.022262429963,1559.9308837116346,322.94288215552245,348.41084737183184,367.2320138216777
2026-03-12,2701.5269533480323,1570.6710449608781,327.58656720688043,354.8811413018365,368.14935997595126
2026-03-13,2852.9509849361984,1591.3231342829629,334.1479906214235,355.6057733555702,369.15253734742805
2026-03-14,2880.4857544925985,1667.206989122484,335.888093152084,357.68210842238955,373.36664910950236
2026-03-15,2907.44622822963,1679.1253675117193,338.63181754433776,360.9910861749714,376.58909298710654
2026-03-16,3064.312063769706,1683.9856394459919,338.66513302595195,366.9490919253142,381.8496143844154
2026-03-17,3081.7293965519275,1781.9814929366214,338.8157991738265,368.95131665608454,384.98671332542995
2026-03-18,3127.5635249294114,1796.7226170936674,343.0127294430171,371.3375814812365,384.9695716274789
2026-03-19,3301.2770718637685,1817.5223461498015,347.05592338967136,374.7740438669669,388.25429052455087
2026-03-20,3331.2356680371095,1894.5604208898058,353.1038669340356,376.53169905990376,391.4646523455774
2026-03-21,3372.529328466204,1920.070747915633,359.4807625381931,379.8941484913886,395.7218158943503
2026-03-22,3590.3953291139196,1917.0635634145729,360.4329800517178,382.8052908561827,398.82194447926554
2026-03-23,3655.0539153676764,2031.3355404397391,362.8319872545227,384.4082847297144,402.3957353623072
2026-03-24,3685.961750023767,2047.0794165798402,367.4241501396615,389.2980898239186,404.8677472927955
2026-03-25,3914.2336910703107,2068.703893052194,372.7144985720517,395.52935625304417,405.3539256030965
2026-03-26,3988.002166840109,2172.1266278284575,374.5158866739742,399.53229520157294,411.59315388259785
2026-03-27,4015.2824736888006,2193.884612058341,375.7431370837351,399.12306988645423,413.2228387607842
2026-03-28,4263.058176560186,2212.061849373753,379.41724540846667,403.88898373240465,415.3461749779407
2026-03-29,4308.429100468131,2330.2468224951367,380.74091088681286,405.6427954207501,424.0153666867488
2026-03-30,4348.714807495084,2382.524281358724,385.1150784443707,408.31961879331595,427.18398535169086
2026-03-31,4640.634442963103,2404.6747222935064,389.4523159826697,412.9528762860481,429.65750786644145
2026-04-01,4631.651448479731,2553.140828483938,392.42494684742735,417.53048957195153,436.3585960354782
2026-04-02,4667.125277601571,2592.5037893909057,393.29982398121217,421.0145349077703,436.4006930019392
2026-04-03,4973.474012118318,2624.0871444887403,397.04486766246094,422.45708930086704,434.8456970506956
2026-04-04,5000.81119213264,2773.196745930697,402.83238660796854,422.6481529838575,438.1976906531523
2026-04-05,5030.719891897232,2827.680993501886,406.2101353621516,427.91249940979304,443.44636077722475
2026-04-06,5331.259021758129,2829.0144790493077,409.0485056962801,432.72800597827484,451.66350761435154
2026-04-07,5424.647301947551,2971.475446268124,410.61410610102644,439.9557871168529,457.8921801440023
2026-04-08,5485.203571645387,3026.339922128902,414.7163941684835,443.0779453388374,465.1187348548824
