timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,hyperedge_coupling,multiway_entropy,non_linear_dependency,emergent_cooperative_index
t41,Emergent_Cooperative,0.7404081632653061,0.34122448979591835,0.032219280731639106,0.7774489795918367,0.18163265306122456,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.8183673469387754,0.8040816326530613,0.042793688492093584,0.03502095731699903
t42,Emergent_Cooperative,0.7559183673469387,0.32775510204081637,0.055728057206914615,0.7945102040816326,0.16367346938775507,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.8363265306122449,0.8191836734693878,0.07242861849732679,0.060573975224907185
t43,Emergent_Cooperative,0.7714285714285715,0.3142857142857143,0.08573399400384905,0.8115714285714286,0.14571428571428569,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.8542857142857143,0.8342857142857143,0.10908425876598504,0.09318912391722722
t44,Emergent_Cooperative,0.7869387755102041,0.3008163265306122,0.12210209759418786,0.8286326530612245,0.1277551020408163,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.8722448979591837,0.8493877551020408,0.15215872469825653,0.13271967129803028
t45,Emergent_Cooperative,0.8024489795918367,0.2873469387755102,0.16457127721607445,0.8456938775510204,0.10979591836734692,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.8902040816326531,0.8644897959183673,0.2009447347543919,0.1788818230609505
t46,Emergent_Cooperative,0.8179591836734694,0.2738775510204081,0.21275534103019136,0.8627551020408163,0.09183673469387754,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.9081632653061225,0.879591836734694,0.2546412239980307,0.2312558054675993
t47,Emergent_Cooperative,0.833469387755102,0.26040816326530614,0.2661464556437557,0.8798163265306123,0.07387755102040816,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.9261224489795918,0.8946938775510205,0.3123664975603127,0.2892896256997345
t48,Emergent_Cooperative,0.8489795918367347,0.24693877551020404,0.32412105951508624,0.8968775510204081,0.05591836734693878,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.9440816326530612,0.909795918367347,0.3731727080452458,0.35230549947291984
t49,Emergent_Cooperative,0.8644897959183674,0.23346938775510206,0.3859481729626221,0.9139387755102041,0.0379591836734694,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.9620408163265306,0.9248979591836735,0.43606141915774665,0.41950888365502403
t50,Emergent_Cooperative,0.88,0.22,0.4507999999999999,0.9309999999999999,0.020000000000000018,Hyperedge_Ingress,Cooperative_Shift,Nonlinear_Attractor,0.98,0.94,0.4999999999999999,0.4899999999999999
