timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,phase_space_expansion,lyapunov_exponent,dimension_growth,router_decision
t16,Hybrid_Adaptive,0.02,0.99,0.98,0.1563157894736842,0.98,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,0.0,-0.05,1.0,Hybrid_Solver
t17,Hybrid_Adaptive,0.06894736842105263,0.9405263157894737,0.9310526315789474,0.20842105263157895,0.9310526315789474,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,0.5,0.08421052631578947,1.1473684210526316,Hybrid_Solver
t18,Hybrid_Adaptive,0.11789473684210526,0.8910526315789473,0.8821052631578947,0.2605263157894737,0.8821052631578947,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,1.0,0.21842105263157896,1.2947368421052632,Hybrid_Solver
t19,Hybrid_Adaptive,0.16684210526315787,0.841578947368421,0.8331578947368421,0.3126315789473684,0.8331578947368421,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,1.5,0.35263157894736846,1.4421052631578948,Hybrid_Solver
t20,Hybrid_Adaptive,0.2157894736842105,0.7921052631578948,0.7842105263157895,0.36473684210526314,0.7842105263157895,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,2.0,0.4868421052631579,1.5894736842105264,Hybrid_Solver
t21,Hybrid_Adaptive,0.26473684210526316,0.7426315789473684,0.7352631578947368,0.4168421052631579,0.7352631578947368,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,2.5,0.6210526315789473,1.736842105263158,Hybrid_Solver
t22,Hybrid_Adaptive,0.3136842105263158,0.6931578947368421,0.6863157894736842,0.46894736842105267,0.6863157894736842,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,3.0,0.7552631578947369,1.8842105263157893,Hybrid_Solver
t23,Hybrid_Adaptive,0.3626315789473684,0.6436842105263159,0.6373684210526316,0.5210526315789474,0.6373684210526316,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,3.5,0.8894736842105263,2.0315789473684207,Hybrid_Solver
t24,Hybrid_Adaptive,0.41157894736842104,0.5942105263157895,0.588421052631579,0.5731578947368421,0.588421052631579,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,4.0,1.0236842105263158,2.1789473684210527,Hybrid_Solver
t25,Hybrid_Adaptive,0.4605263157894737,0.5447368421052632,0.5394736842105263,0.6252631578947369,0.5394736842105263,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,4.5,1.1578947368421053,2.326315789473684,Hybrid_Solver
t26,Hybrid_Adaptive,0.5094736842105263,0.49526315789473685,0.4905263157894737,0.6773684210526316,0.4905263157894737,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,5.0,1.2921052631578946,2.473684210526316,Hybrid_Solver
t27,Hybrid_Adaptive,0.5584210526315789,0.4457894736842105,0.44157894736842107,0.7294736842105263,0.44157894736842107,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,5.5,1.4263157894736842,2.621052631578947,Hybrid_Solver
t28,Hybrid_Adaptive,0.6073684210526316,0.3963157894736842,0.39263157894736844,0.781578947368421,0.39263157894736844,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,6.0,1.5605263157894738,2.7684210526315787,Hybrid_Solver
t29,Hybrid_Adaptive,0.6563157894736842,0.34684210526315784,0.3436842105263158,0.8336842105263158,0.3436842105263158,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,6.5,1.694736842105263,2.9157894736842103,Hybrid_Solver
t30,Hybrid_Adaptive,0.7052631578947368,0.2973684210526316,0.2947368421052632,0.8857894736842106,0.2947368421052632,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,7.0,1.8289473684210527,3.063157894736842,Hybrid_Solver
t31,Hybrid_Adaptive,0.7542105263157894,0.24789473684210528,0.24578947368421056,0.9378947368421053,0.24578947368421056,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,7.5,1.963157894736842,3.2105263157894735,Hybrid_Solver
t32,Hybrid_Adaptive,0.8031578947368421,0.19842105263157894,0.19684210526315793,0.99,0.19684210526315793,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,8.0,2.0973684210526318,3.357894736842105,Hybrid_Solver
t33,Hybrid_Adaptive,0.8521052631578947,0.1489473684210526,0.1478947368421053,0.02,0.1478947368421053,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,8.5,2.2315789473684213,3.5052631578947366,Hybrid_Solver
t34,Hybrid_Adaptive,0.9010526315789473,0.09947368421052627,0.09894736842105267,0.02,0.09894736842105267,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,9.0,2.365789473684211,3.6526315789473682,Hybrid_Solver
t35,Hybrid_Adaptive,0.95,0.05,0.050000000000000044,0.02,0.050000000000000044,Perturbation_Ingress,State_Tracking,Adaptive_Manifold,9.5,2.5,3.8,Hybrid_Solver
t36,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t37,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t38,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t39,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t40,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t41,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t42,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t43,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t44,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t45,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t46,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t47,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t48,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t49,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
t50,Irreducible_Collapse,0.98,0.02,0.020000000000000018,0.02,0.020000000000000018,System_Overload,Bifurcation_Unfolding,Irreducible_Unfolding_Basin,9.8,2.8,4.2,Recursive_Agent_Unfolder
