timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,liquidity,volatility,leverage,panic_index,order_flow
t34,Volatility_Rise,0.721628149596475,0.733840380449659,0.6751331500136863,0.8735294117647059,0.30263157894736836,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,36.718469027341115,60.9895033989577,3.514241700692162,66.04416087706907,-794.1508241467936
t35,Volatility_Rise,0.7583850272406734,0.7646418195875325,0.70347047402053,0.9317647058823529,0.2605263157894737,Liquidity_Drain,Order_Imbalance,Volatility_Attractor,34.71336616364144,65.01673732922868,3.7087920714201346,70.68189148962631,-714.8413827604912
t36,Feedback_Cascade,0.7831531952133377,0.8273188150013213,0.7611333098012156,0.99,0.21842105263157896,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,29.419965903465673,69.32986404698784,3.880131789258405,76.84670732573603,-814.5763954281568
t37,Feedback_Cascade,0.8460866145966189,0.8414265538962924,0.774112429584589,0.02,0.1763157894736842,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,24.466556050103357,73.25906634043234,4.103840814114388,80.58392818532596,-893.1669040144303
t38,Feedback_Cascade,0.8761420439583882,0.8811457248821123,0.8106540668915433,0.02,0.13421052631578945,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,20.456375194471843,77.12432688171948,4.13429282427885,84.64070790921294,-859.3190197402955
t39,Feedback_Cascade,0.9014745687880191,0.940139255027705,0.8649281146254887,0.02,0.09210526315789469,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,16.40231654972574,80.9122855653233,4.391321383081724,90.59065483069232,-935.1783853640716
t40,Feedback_Cascade,0.9402688583899452,0.9904709830261216,0.9112333043840319,0.02,0.05,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,11.01437006501813,84.16951953324201,4.489300557788725,96.10870358058291,-1028.2039315368363
t41,Feedback_Cascade,0.1520838280794755,0.13683927691457867,0.1258921347614124,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,0.1591257686683547,14.214809109566293,1.0975268145173784,20.820482181197363,-64.01521993354471
t42,Feedback_Cascade,0.12958265131575708,0.1154111573713106,0.10617826478160575,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,0.7204230332642985,14.103843843581556,1.1337409746083302,20.507274031107297,43.622866414007234
t43,Feedback_Cascade,0.14752822617479402,0.13078680833431294,0.1203238636675679,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,1.3751814223043213,14.135789418597687,1.0438638989218851,21.066674689589153,32.51005889793305
t44,Feedback_Cascade,0.143180157520022,0.11961491530499292,0.11004572208059349,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,2.026091050210834,13.361625712089845,1.1191204873092027,21.16929559044567,-4.958793188969145
t45,Feedback_Cascade,0.13998379990105084,0.1182737270005918,0.10881182884054447,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,2.517659020469123,13.459471729795869,1.108322610410653,21.382158991037528,92.33184980238329
t46,Crash_Isolation,0.14718899707114044,0.12883659937486672,0.11852967142487739,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,1.2742561868465345,14.526576426666452,1.1246225632004077,20.648709887589643,-53.50423831630763
t47,Crash_Isolation,0.16797686526849523,0.1265232287841342,0.11640137048140346,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,2.1867667644770785,13.980222423071673,1.114458432195391,19.832881919683146,-76.27625854623695
t48,Crash_Isolation,0.1564084286126701,0.1042360784301575,0.09589719215574491,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,1.2446170676466775,14.340750348686312,1.222765006995545,20.146713686433323,-34.59540349406222
t49,Crash_Isolation,0.14428821010217202,0.13476540349725896,0.12398417121747825,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,1.3884821970080519,14.01415918806523,1.0681130007874342,21.206508966508355,-2.27930081777489
t50,Crash_Isolation,0.1557258278135616,0.1338009135414745,0.12309684045815654,0.02,0.92,Margin_Call_Cascade,Algorithmic_Selloff,Panic_Attractor,0.5933389031517777,14.014878069747873,1.0734501522499091,19.183064329012765,12.166972466134592
