timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,KRAS_activation,TP53_loss,oxygen_level,glucose_flux,immune_pressure,therapy_dose,clone_entropy,resistance_score
t19,Mutation,0.3889328884663635,0.6899083301915511,0.6110671115336366,0.14842105263157895,0.8189473684210526,None,Clonal_Expansion,Basal_Homeostasis,0.7818395184895758,0.22151843478666697,96.14282281451501,21.645794770355597,68.21932309930898,0.0,3.111463107730908,0.09767609854883172
t20,Mutation,0.4250574057728609,0.6561985694563232,0.5749425942271391,0.19789473684210526,0.7752631578947368,None,Clonal_Expansion,Basal_Homeostasis,0.8717539259732942,0.2728118906221832,95.75193303268678,23.344379489566638,65.38596910381634,0.0,3.400459246182887,0.0
t21,Hypoxia,0.46857939955732775,0.6293032929832606,0.5314206004426723,0.24736842105263157,0.731578947368421,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9793129753784311,0.36437076925302536,95.79103194704305,25.34102003524695,65.05093521843132,0.0,3.748635196458622,0.024510174258942714
t22,Hypoxia,0.47022471182153885,0.6051182369210357,0.5297752881784612,0.2968421052631579,0.6878947368421052,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9454844739902692,0.45933215990074794,88.37632683091955,27.505246508869753,55.093839053217636,0.0,3.761797694572311,0.49799829124544975
t23,Hypoxia,0.5266316375215496,0.5618177931676653,0.4733683624784504,0.3463157894736842,0.6442105263157893,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9513505640937584,0.499283479217801,84.97422288236467,30.20147652720556,55.23991660135124,0.0,4.213053100172397,1.4511436077950417
t24,Hypoxia,0.5455189972768625,0.5617572060901879,0.4544810027231375,0.3957894736842105,0.6005263157894736,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9215050362757308,0.6027214445448515,76.45529179435059,32.64134263248489,48.10724198268921,0.0,4.3641519782149,0.9592708260852069
t25,Hypoxia,0.5660182468228538,0.5016064928516697,0.43398175317714616,0.44526315789473686,0.5568421052631578,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9391123455094963,0.5904622407753479,72.72971423665741,34.69503684999033,46.13420746447375,0.0,4.528145974582831,2.1531824575115563
t26,Hypoxia,0.6108710347426327,0.4703581138721227,0.3891289652573673,0.49473684210526314,0.513157894736842,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9522184517941973,0.7307237643732186,68.6190270543814,37.240693967649875,44.79132063229316,0.0,4.886968277941062,0.0
t27,Hypoxia,0.6386572636224013,0.464914442068334,0.36134273637759873,0.5442105263157895,0.46947368421052627,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9269801284515539,0.7874552270790491,59.723749389155024,38.69461203981811,39.57010423916951,0.0,5.10925810897921,0.8723206367206782
t28,Hypoxia,0.6610811645617454,0.432083293606296,0.33891883543825463,0.5936842105263158,0.4257894736842105,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9575139603669134,0.8511627101335397,54.43370227039723,41.95230094593638,34.17285651731657,0.0,5.288649316493963,0.18334200573835174
t29,Hypoxia,0.6981980208499002,0.40124119817052156,0.30180197915009976,0.6431578947368422,0.3821052631578947,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9379872262016239,0.9304066441021386,49.38536565080192,42.683011375514894,31.032307594004788,0.0,5.585584166799202,2.1898029332176723
t30,Hypoxia,0.7240635306980491,0.3721167884259761,0.2759364693019509,0.6926315789473684,0.33842105263157884,Oxygen_Depletion,Warburg_Shift,Hypoxic_Niche,0.9441661250041344,0.9602486217079822,43.06795291731237,47.176135333271695,29.440449254980958,0.0,5.792508245584393,0.0
t31,Therapeutic_Pressure,0.7594685067858458,0.33654419893819754,0.24053149321415424,0.7421052631578947,0.2947368421052631,Chemotherapy,Apoptosis_Attempt,Hypoxic_Niche,0.937965867755412,0.9956065622432497,36.30647942607672,48.500533878212,23.641292157687452,0.0,6.075748054286766,0.0
t32,Therapeutic_Pressure,0.7953713067452104,0.29852745628514166,0.2046286932547896,0.791578947368421,0.2510526315789473,Chemotherapy,Apoptosis_Attempt,Hypoxic_Niche,0.9870455636901787,1.0,32.21142011766317,47.31427395486698,21.377319463320333,11.11111111111111,6.362970453961683,0.0
t33,Therapeutic_Pressure,0.8350268348281201,0.2790913789152706,0.16497316517187988,0.8410526315789474,0.20736842105263154,Chemotherapy,Apoptosis_Attempt,Hypoxic_Niche,0.9497300555052413,1.0,25.366267714845325,47.14328600155111,17.436778812487304,22.22222222222222,6.680214678624961,0.0
t34,Therapeutic_Pressure,0.8372051783450649,0.24239504955154553,0.16279482165493508,0.8905263157894737,0.16368421052631577,Chemotherapy,Apoptosis_Attempt,Hypoxic_Niche,0.9288457814208819,0.989634595634527,21.18787814492089,48.38597793219455,12.70681000490707,33.33333333333333,6.697641426760519,0.0
t35,Therapeutic_Pressure,0.9013303337465627,0.2297511973341775,0.09866966625343732,0.94,0.12,Chemotherapy,Apoptosis_Attempt,Hypoxic_Niche,0.9664508982420638,0.9838301279421362,14.080575765766197,47.82122977173932,13.215916133987989,44.44444444444444,7.2106426699725015,0.0
t36,Therapeutic_Pressure,0.8604791220047749,0.21852942618497861,0.13952087799522506,0.94,0.15,Chemotherapy,Apoptosis_Attempt,Apoptotic_Collapse,0.9255831270005795,0.9899648591283092,13.54993440501754,48.57120039527367,8.950878533477017,55.55555555555556,6.8838329760381995,0.15039378647620763
t37,Therapeutic_Pressure,0.8477678633353585,0.25031645660350343,0.15223213666464153,0.8835714285714286,0.15,Chemotherapy,Apoptosis_Attempt,Apoptotic_Collapse,0.954177271900095,1.0,11.216746707663763,48.37859009965884,4.962286120013589,66.66666666666666,6.782142906682868,7.127470261491445
t38,Therapeutic_Pressure,0.8244546006362744,0.2939289987263272,0.1755453993637256,0.8271428571428571,0.15,Chemotherapy,Apoptosis_Attempt,Apoptotic_Collapse,0.9108065975224044,1.0,11.677938483794325,47.941736869874504,8.279681472154142,77.77777777777777,6.595636805090195,15.447599410644457
t39,Therapeutic_Pressure,0.7906670615344932,0.33984360025704197,0.20933293846550682,0.7707142857142857,0.15,Chemotherapy,Apoptosis_Attempt,Apoptotic_Collapse,0.9234362790220313,0.9894047959246592,12.81351721736967,47.32256502554527,7.007320302847418,88.88888888888889,6.325336492275945,21.30756669532891
t40,Therapeutic_Pressure,0.7509158619446512,0.3686484687576746,0.2490841380553488,0.7142857142857142,0.15,Chemotherapy,Apoptosis_Attempt,Apoptotic_Collapse,0.9539372247173824,1.0,10.769135683566045,46.78812222025131,9.278650002194336,100.0,6.00732689555721,26.56595348719474
t41,Resistance_Attractor,0.7243473489249986,0.4046349389014786,0.27565265107500136,0.6578571428571428,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9647693315999082,1.0,12.227459934604129,47.64278803834638,6.811218892350949,100.0,5.794778791399989,33.030156757223075
t42,Resistance_Attractor,0.6907842763676973,0.45386544354349057,0.30921572363230265,0.6014285714285714,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9534273656237994,1.0,13.307142754282427,48.685119035458776,7.827895337799651,100.0,5.526274210941579,41.20620488579222
t43,Resistance_Attractor,0.6591063524305579,0.4924496657110872,0.34089364756944207,0.5449999999999999,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9476870343522351,0.9859589381224529,10.392516765438772,48.17127499530417,8.757480918470685,100.0,5.272850819444463,46.17976679297936
t44,Resistance_Attractor,0.6427817352559246,0.5235019968177173,0.35721826474407536,0.48857142857142855,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9439779260882142,0.9934467570680446,12.184633858532305,47.00340897703041,9.298632791255182,100.0,5.142253882047397,56.11717305156864
t45,Resistance_Attractor,0.6071415834310792,0.562432474086674,0.39285841656892084,0.43214285714285716,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9204295601926514,0.9921578369373568,12.259882794248423,48.13854474068095,6.199555389416336,100.0,4.857132667448633,62.25086869214986
t46,Resistance_Attractor,0.5659280469045364,0.6080347850878621,0.43407195309546365,0.37571428571428567,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9356031158321058,0.9707297010373577,12.78182287177731,48.30825390378307,7.498248146238577,100.0,4.527424375236291,67.38796720503815
t47,Resistance_Attractor,0.5511388558971897,0.6298048708707411,0.4488611441028103,0.3192857142857143,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9407872245808042,1.0,10.763049289121918,47.29291405103909,7.287582033258566,100.0,4.4091108471775176,72.92972261376626
t48,Resistance_Attractor,0.5145015666373376,0.6687825051133773,0.4854984333626624,0.2628571428571429,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9711424445243783,1.0,10.679543386915723,48.12298008475642,7.020006151139432,100.0,4.116012533098701,82.78244380273685
t49,Resistance_Attractor,0.4888429069026753,0.7142441292160471,0.5111570930973247,0.2064285714285714,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9568723657913691,1.0,12.521941565616897,48.0465669747568,10.648181360421646,100.0,3.9107432552214023,88.09974586903309
t50,Resistance_Attractor,0.45629628841923614,0.7578655284828816,0.5437037115807639,0.15,0.15,Resistance_Escape,Pathway_Adaptation,Clonal_Resistance_Attractor,0.9147391968927453,0.9953082573324971,12.296984673233187,47.085623761735505,8.607472566441434,100.0,3.650370307353889,96.23781631197346
