timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,pressure_gradient,sea_surface_temp,wind_shear,humidity_flux,vortex_coherence
t15,Calm,0.14445751979616825,0.09287154217322836,0.08822796506456694,0.11529411764705882,0.92,None,Equilibrium,Flat_Baric,1013.3323140119796,25.988767195030917,44.71161433471583,60.96097113773116,0.09287154217322836
t16,Storm_Emergence,0.12129221181975228,0.10106430227691897,0.09601108716307302,0.17294117647058824,0.92,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,1012.2515134634434,25.977903040046677,45.37769561291288,59.67353970158276,0.10106430227691897
t17,Storm_Emergence,0.16109394794604892,0.14166075414158094,0.1345777164345019,0.23058823529411765,0.8757894736842106,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,1011.761678291312,26.35089035421487,43.14519543591745,60.36950037185772,0.14166075414158094
t18,Storm_Emergence,0.20725766623898692,0.20346098251740583,0.19328793339153552,0.28823529411764703,0.8315789473684211,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,1007.5367272658718,26.654698139425783,40.30069606181125,63.19353095126608,0.20346098251740583
t19,Storm_Emergence,0.2448100923173671,0.2061218808634383,0.19581578682026637,0.3458823529411765,0.7873684210526316,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,1005.8108761314322,26.815370937870526,38.7338766790304,64.50336646317932,0.2061218808634383
t20,Storm_Emergence,0.28223884024279133,0.2877571737823825,0.2733693150932634,0.4035294117647059,0.7431578947368421,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,1001.9096237445681,27.10031291277764,36.95464093010695,67.71878921276695,0.2877571737823825
t21,Storm_Emergence,0.3120952554455469,0.3335134835039237,0.31683780932872746,0.4611764705882353,0.6989473684210527,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,1001.1133795038294,27.419863251337464,33.63898156996563,70.01473470335164,0.3335134835039237
t22,Storm_Emergence,0.36471468357135994,0.34452925557065534,0.32730279279212254,0.5188235294117647,0.6547368421052632,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,998.01849873718,27.5066499887896,32.64010114882154,73.34114984982023,0.34452925557065534
t23,Storm_Emergence,0.41882024496475034,0.40604680826972284,0.3857444678562367,0.5764705882352941,0.6105263157894737,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,993.2247200620473,27.87479668325383,29.93184601526392,74.26154189901133,0.40604680826972284
t24,Storm_Emergence,0.4534542004615498,0.4499698018663579,0.42747131177304,0.6341176470588236,0.5663157894736842,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,991.6557814772702,28.452476900428664,28.443194071138684,75.82471957695292,0.4499698018663579
t25,Storm_Emergence,0.49593186626639396,0.48381961989492706,0.4596286389001807,0.691764705882353,0.5221052631578947,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,988.5401127916905,28.769759929244863,25.67100200067611,78.66352446494679,0.48381961989492706
t26,Storm_Emergence,0.5148878432356881,0.534327096281986,0.5076107414678868,0.7494117647058823,0.47789473684210526,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,986.4738947154272,28.869833238149624,23.044927370720373,78.23109175279369,0.534327096281986
t27,Storm_Emergence,0.5501039517974142,0.5752100310190259,0.5464495294680746,0.8070588235294118,0.4336842105263158,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,981.3508660131041,29.241866222621365,21.028334044216315,82.18849164648685,0.5752100310190259
t28,Storm_Emergence,0.5987421307990035,0.6480490202237098,0.6156465692125243,0.8647058823529412,0.3894736842105263,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,980.2123672494721,29.50480922598067,19.76088457859385,84.61669215510958,0.6480490202237098
t29,Storm_Emergence,0.6405572491228869,0.6840936260367377,0.6498889447349008,0.9223529411764706,0.3452631578947368,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,977.7952665921127,30.071045975582365,17.761440198229163,84.81713100337613,0.6840936260367377
t30,Storm_Emergence,0.6909419151847095,0.7316629193709941,0.6950797734024444,0.98,0.30105263157894735,Ocean_Thermal_Spike,Vortex_Aggregation,Vortex_Tipping,972.1886289346295,30.164589070090827,15.074157476921481,88.91500323456555,0.7316629193709941
t31,Cyclone_LockIn,0.7030753537028518,0.7703746153772744,0.7318558846084106,0.1,0.25684210526315787,Ocean_Thermal_Spike,Vortex_Aggregation,Stable_Cyclonic_Eye,969.9746362241763,30.329313504009818,13.740348860967636,90.27079712599553,0.7703746153772744
t32,Cyclone_LockIn,0.7752955031946062,0.7960779033404592,0.7562740081734363,0.1,0.2126315789473684,Ocean_Thermal_Spike,Vortex_Aggregation,Stable_Cyclonic_Eye,966.3291888748714,30.53602490330838,10.485029442549733,91.66776966887936,0.7960779033404592
t33,Cyclone_LockIn,0.7984199210142101,0.8463337447056233,0.8040170574703421,0.1,0.16842105263157892,Ocean_Thermal_Spike,Vortex_Aggregation,Stable_Cyclonic_Eye,965.3095405339765,30.76040799955319,9.177486416465815,94.50622549288502,0.8463337447056233
t34,Cyclone_LockIn,0.8357311893005258,0.9006832192964896,0.8556490583316652,0.1,0.12421052631578944,Ocean_Thermal_Spike,Vortex_Aggregation,Stable_Cyclonic_Eye,963.5070159400065,31.230872679376194,6.499755058013512,97.81655428624352,0.9006832192964896
t35,Cyclone_LockIn,0.8698789562473983,0.9277787219110805,0.8813897858155264,0.1,0.08,Ocean_Thermal_Spike,Vortex_Aggregation,Stable_Cyclonic_Eye,961.502357052096,31.42436492547157,4.67408194609892,98.1454930040468,0.9277787219110805
t36,Cyclone_LockIn,0.9034514332813424,0.9671299843017238,0.9187734850866376,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,960.0740947804197,31.657774629040233,3.2236993356582073,99.19857646904026,0.9671299843017238
t37,Cyclone_LockIn,0.9282317058396192,0.9575967460184186,0.9097169087174977,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,960.2000441169998,31.735342711575747,2.769793317358024,98.63251128036781,0.9575967460184186
t38,Cyclone_LockIn,0.9207331796718841,0.9562517919245039,0.9084392023282787,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,955.7627556846422,31.69184519963856,3.0077222278850875,98.32012450442816,0.9562517919245039
t39,Cyclone_LockIn,0.9071003910025895,0.9671095996820349,0.9187541196979331,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,954.0109032749305,31.968714163507258,3.7031464046072204,99.6642686532354,0.9671095996820349
t40,Cyclone_LockIn,0.9070492122793639,0.9644426331148603,0.9162205014591173,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,954.2301665868177,31.888163975694944,2.911554065238426,98.3151329392729,0.9644426331148603
t41,Cyclone_LockIn,0.9166421530070987,0.9563903383418092,0.9085708214247187,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,953.2412083060822,31.799202735868338,3.617846056032571,99.05725298977552,0.9563903383418092
t42,Cyclone_LockIn,0.936690215252894,0.9715932980336425,0.9230136331319603,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,951.3958766804774,31.947994413889003,2.635146572671191,98.6178740425879,0.9715932980336425
t43,Cyclone_LockIn,0.917404086486364,0.949189366724001,0.9017298983878009,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,947.9325578999601,31.807736830764764,3.4649020889576416,99.38318386059711,0.949189366724001
t44,Cyclone_LockIn,0.904968570468819,0.9661593560694426,0.9178513882659705,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,948.4823085319158,31.713871579867174,3.9207843103289504,99.26692968422955,0.9661593560694426
t45,Cyclone_LockIn,0.9175425693591406,0.9659310125796838,0.9176344619506996,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,945.8383876423522,31.952312407726968,1.9641777499363555,99.83003195540633,0.9659310125796838
t46,Turbulence,0.9172727643025234,0.9569045356068601,0.909059308826517,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,946.3839582631157,31.853891004368467,2.8015523722647617,98.5919868809162,0.9569045356068601
t47,Turbulence,0.8930311335705843,0.9632613302224211,0.9150982637113,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,944.6523125318112,31.696275384567354,3.4885360635902702,98.78410005176531,0.9632613302224211
t48,Turbulence,0.9194570513348219,0.947488864236147,0.9001144210243396,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,941.9172630708156,31.78096613219164,3.098477306978504,98.21698902737415,0.947488864236147
t49,Turbulence,0.9176906546979132,0.9692402701920689,0.9207782566824655,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,940.9147045112347,31.712438174661525,3.3855729366856546,98.64456539193911,0.9692402701920689
t50,Turbulence,0.9269620636481343,0.9581509786355701,0.9102434297037916,0.1,0.05,Wind_Shear_Collapse,Rotational_Ignition,Stable_Cyclonic_Eye,938.940786478111,31.661720026903566,2.89800740664209,99.30184039443589,0.9581509786355701
