timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,neuron_firing_rate,calcium_flux,synchronization,inhibitory_balance,oscillation_frequency
t17,Partial_Sync,0.7426821967025796,0.24050939485177186,0.2573178032974204,0.40714285714285714,0.24166666666666664,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,24.53865185761243,2.657008225190494,0.24050939485177186,0.7768517845772802,10.311088121063593
t18,Partial_Sync,0.71861441962312,0.26897242453385695,0.28138558037688,0.475,0.27208333333333334,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,30.452493454045186,2.7150714536299745,0.26897242453385695,0.7771076028480322,11.735885138373709
t19,Partial_Sync,0.6839048779784072,0.30594754341665287,0.31609512202159284,0.5428571428571428,0.3025,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,32.28229879868811,3.045109904671496,0.30594754341665287,0.6740221210212227,13.352894011482046
t20,Partial_Sync,0.6564636203034788,0.34520082225446974,0.3435363796965212,0.6107142857142857,0.33291666666666664,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,36.554837215064055,3.434232106267428,0.34520082225446974,0.7756785090202484,15.330551968375419
t21,Partial_Sync,0.6272331659156378,0.380922619231201,0.3727668340843622,0.6785714285714285,0.3633333333333333,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,39.61974608778749,3.7438859266291313,0.380922619231201,0.5616727106274717,16.884928690785518
t22,Partial_Sync,0.6002969275435672,0.41281191423969377,0.3997030724564328,0.7464285714285713,0.39375,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,43.60204082722312,4.056203030556038,0.41281191423969377,0.5891752460376671,18.371827624181435
t23,Partial_Sync,0.5626283455527423,0.4477086777061855,0.4373716544472577,0.8142857142857143,0.42416666666666664,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,46.66015522439359,4.305539688869585,0.4477086777061855,0.5580046335202891,19.614870780398817
t24,Partial_Sync,0.5365316831049286,0.4827074020543381,0.4634683168950714,0.8821428571428571,0.4545833333333333,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,48.7586744424781,4.431532842060285,0.4827074020543381,0.4996373232936275,21.353384976727703
t25,Partial_Sync,0.5006447441481012,0.5124603541113333,0.49935525585189877,0.95,0.485,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,54.49626681944714,5.013343153230109,0.5124603541113333,0.42231456442453563,23.242619539995836
t26,Global_Ignition,0.4485786676697946,0.5538599158979989,0.5514213323302054,0.95,0.5154166666666666,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,56.46457675017202,5.039532127364797,0.5538599158979989,0.37771949132911814,24.611676716061314
t27,Global_Ignition,0.4272733127284791,0.5764037651913794,0.5727266872715209,0.9104166666666667,0.5458333333333333,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,58.86008476800692,5.488596879857236,0.5764037651913794,0.3390326788621133,26.630532574663004
t28,Global_Ignition,0.4035591244427838,0.6290166037320525,0.5964408755572161,0.8708333333333333,0.5762499999999999,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,63.44688483903409,5.687072414998064,0.6290166037320525,0.2821235841291019,27.828663567878873
t29,Global_Ignition,0.36123638590492224,0.6567807555951575,0.6387636140950778,0.8312499999999999,0.6066666666666667,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,68.83409312396765,6.060252832007367,0.6567807555951575,0.2902992189976402,29.37174315663134
t30,Global_Ignition,0.3476659539666287,0.6922974401611756,0.6523340460333713,0.7916666666666666,0.6370833333333333,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,71.64188840878016,6.403709574363681,0.6922974401611756,0.30526299218483066,30.854843373826164
t31,Global_Ignition,0.3253075083234369,0.7417989415115348,0.6746924916765631,0.7520833333333333,0.6675,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,73.90134786559214,6.707135721545027,0.7417989415115348,0.11949383180223991,32.526708180956454
t32,Global_Ignition,0.29052095185030646,0.7905866895301126,0.7094790481496935,0.7124999999999999,0.6979166666666666,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,77.35907562901491,7.021358742090195,0.7905866895301126,0.031509851021046115,34.05283936605722
t33,Global_Ignition,0.2445322379573645,0.8225164993933565,0.7554677620426355,0.6729166666666666,0.7283333333333333,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,80.84503161544929,7.444704460239198,0.8225164993933565,0.09558589758243727,35.80828840200438
t34,Global_Ignition,0.22990726136849948,0.8342949939637682,0.7700927386315005,0.6333333333333333,0.7587499999999999,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,86.70174798356084,7.632853430151397,0.8342949939637682,0.3701619374709512,37.44134046335892
t35,Global_Ignition,0.18482000790535436,0.8767703853009632,0.8151799920946456,0.59375,0.7891666666666666,Calcium_Spike,Oscillatory_Rhythm,Oscillatory_Attractor,88.4652687855649,7.867251003137602,0.8767703853009632,0.342169212777984,38.676135441231736
t36,Global_Ignition,0.14829580695548622,0.9327410452132155,0.8517041930445137,0.5541666666666667,0.8195833333333333,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,91.97170831385775,8.29224205016217,0.9327410452132155,0.6054852520369093,40.15042007595511
t37,Global_Ignition,0.1138659733645906,0.9501751260646168,0.8861340266354094,0.5145833333333333,0.85,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,96.03028345403185,8.618947048892464,0.9501751260646168,0.7485909230567632,41.63275892537934
t38,Global_Ignition,0.9469753031351187,0.04775366850002976,0.053024696864881316,0.475,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,95.23878915902651,8.3772392184863,0.04775366850002976,0.7782029408557767,2.101598265382509
t39,Global_Ignition,0.9461182318145877,0.05550052099024552,0.05388176818541235,0.4354166666666667,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,87.2409578541793,7.884740006984986,0.05550052099024552,0.9755079774886755,1.7793266787652253
t40,Global_Ignition,0.9517041622237549,0.04031655545136365,0.04829583777624513,0.39583333333333326,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,79.80365015091502,7.22011727423109,0.04031655545136365,1.1696551252740741,1.5694218814095033
t41,Desync,0.9516057398104986,0.0510537550614596,0.04839426018950144,0.35624999999999996,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,72.42839874058593,6.445243649664,0.0510537550614596,1.2104553776565081,2.077715720906193
t42,Desync,0.9500304602015341,0.036659745050817955,0.049969539798465856,0.31666666666666665,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,64.96277776349015,5.937570681331163,0.036659745050817955,1.3604092172889997,2.498599903486558
t43,Desync,0.9543693816974634,0.043986323560487865,0.04563061830253656,0.27708333333333335,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,58.22762954363698,5.109994441296747,0.043986323560487865,1.4826806601849207,1.9987858176920212
t44,Desync,0.9619064627478634,0.053197819341425374,0.0380935372521366,0.23750000000000004,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,50.0519458858073,4.462557645347155,0.053197819341425374,1.602203339935945,2.1676981548903282
t45,Desync,0.9594955413544132,0.03407006266468331,0.04050445864558683,0.19791666666666663,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,43.23264007721558,3.7576928175716136,0.03407006266468331,1.7616537698055232,2.016365871709513
t46,Desync,0.9351510203155009,0.05440474737960399,0.0648489796844991,0.15833333333333333,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,34.919283419891414,3.101557904758147,0.05440474737960399,1.874097104308946,1.9802220693617714
t47,Desync,0.9244607886509804,0.04980362201073319,0.07553921134901964,0.11875000000000002,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,27.578635190316092,2.3153724913104807,0.04980362201073319,2.0781747616482558,2.1838152965975537
t48,Desync,0.9593431991123927,0.05552489954417148,0.04065680088760726,0.07916666666666661,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,18.001799315467892,1.6059949117405714,0.05552489954417148,2.1791483972705974,1.9419450911622698
t49,Desync,0.9363312130158458,0.05223914134064662,0.06366878698415424,0.039583333333333304,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,13.416327674702481,1.2344505063224984,0.05223914134064662,2.370512825001302,2.0534784628143807
t50,Desync,0.9477523459810732,0.06364140429973844,0.05224765401892684,0.0,0.08,GABA_Inhibition_Loss,Spike_Discharge,Global_Ignition_Lock,5.346488475897993,0.3153038651681672,0.06364140429973844,2.4222052176898186,2.0643395612392026
