timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,ligand_concentration,receptor_affinity,delta_G,conformational_state,thermal_noise
t28,Transitioning,0.15349915418833415,0.8465008458116658,0.7195257189399159,0.3069983083766683,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0005514693877551021,0.0001,-4232.375749649679,0.8041758035210825,0.05199523436980383
t29,Transitioning,0.1488411652136934,0.8511588347863066,0.7234850095683606,0.2976823304273868,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0005718571428571429,0.0001,-4322.364022032026,0.8086008930469912,-0.030280776986843207
t30,Transitioning,0.1444575471698114,0.8555424528301886,0.7272110849056603,0.2889150943396228,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0005922448979591837,0.0001,-4409.19957949541,0.8127653301886791,0.09130048567734682
t31,Transitioning,0.14032475156791435,0.8596752484320856,0.7307239611672728,0.2806495031358287,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0006126326530612246,0.0001,-4493.095873935555,0.8166914860104814,0.033896293566963456
t32,Transitioning,0.13642184976891814,0.8635781502310819,0.7340414276964196,0.27284369953783627,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0006330204081632653,0.0001,-4574.24538780194,0.8203992427195277,-0.024395570407285135
t33,Transitioning,0.1327301785085463,0.8672698214914537,0.7371793482677357,0.2654603570170926,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0006534081632653062,0.0001,-4652.822293936089,0.823906330416881,0.10786541066327518
t34,Transitioning,0.12923304146006964,0.8707669585399304,0.7401519147589408,0.2584660829201393,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.000673795918367347,0.0001,-4728.9847066110315,0.8272286106129338,-0.030285746150166923
t35,Transitioning,0.1259154567647437,0.8740845432352563,0.7429718617499679,0.2518309135294874,0.98,Concentration_Ramp,Conformational_Shift,Midpoint_State,0.0006941836734693878,0.0001,-4802.876596924381,0.8303803160734935,0.03710476860046535
t36,Fully_Bound,0.12276394247632416,0.8772360575236758,0.7456506488951244,0.24552788495264832,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0007145714285714287,0.0001,-4874.629430866768,0.833374254647492,0.014964629020324596
t37,Fully_Bound,0.11976633343924914,0.8802336665607509,0.7481986165766382,0.23953266687849828,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0007349591836734694,0.0001,-4944.363576896411,0.8362219832327132,0.0650870644699399
t38,Fully_Bound,0.11691162435579316,0.8830883756442068,0.7506251192975758,0.23382324871158633,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0007553469387755103,0.0001,-5012.189520876453,0.8389339568619965,0.07807555983634264
t39,Fully_Bound,0.11418983477430034,0.8858101652256997,0.7529386404418447,0.22837966954860067,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.000775734693877551,0.0001,-5078.208919170628,0.8415196569644147,0.0016002074532883313
t40,Fully_Bound,0.11159189250740154,0.8884081074925985,0.7551468913687087,0.22318378501480307,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0007961224489795919,0.0001,-5142.515515098031,0.8439877021179685,-0.03767089351730918
t41,Fully_Bound,0.10910953261038991,0.8908904673896101,0.7572568972811685,0.21821906522077983,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0008165102040816327,0.0001,-5205.195939485188,0.8463459440201295,0.022998607146955823
t42,Fully_Bound,0.10673520954953386,0.8932647904504661,0.7592750718828962,0.21347041909906772,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0008368979591836735,0.0001,-5266.330412472041,0.8486015509279428,-0.03388576848760531
t43,Fully_Bound,0.10446202059394127,0.8955379794060587,0.7612072824951499,0.20892404118788255,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0008572857142857144,0.0001,-5325.993360836719,0.8507610804357557,0.10066936237633116
t44,Fully_Bound,0.10228363879263547,0.8977163612073645,0.7630589070262598,0.20456727758527093,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0008776734693877552,0.0001,-5384.253962756288,0.8528305431469962,0.006826766554136872
t45,Fully_Bound,0.10019425416624073,0.8998057458337593,0.7648348839586954,0.20038850833248145,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.000898061224489796,0.0001,-5441.176630004291,0.8548154585420713,-0.018266077565605436
t46,Fully_Bound,0.09818852196216743,0.9018114780378326,0.7665397563321577,0.19637704392433486,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0009184489795918368,0.0001,-5496.8214360139855,0.8567209041359409,0.009234015293245421
t47,Fully_Bound,0.09626151700292707,0.9037384829970729,0.7681777105475119,0.19252303400585413,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0009388367346938776,0.0001,-5551.244496940329,0.8585515588472192,-0.06735631447648482
t48,Fully_Bound,0.09440869330661628,0.9055913066933837,0.7697526106893762,0.18881738661323255,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0009592244897959184,0.0001,-5604.498311780709,0.8603117413587145,-0.04858070192553258
t49,Fully_Bound,0.0926258482826412,0.9073741517173588,0.771268028959755,0.1852516965652824,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.0009796122448979593,0.0001,-5656.632066722083,0.8620054441314908,0.06002069539722127
t50,Fully_Bound,0.09090909090909094,0.9090909090909091,0.7727272727272727,0.18181818181818188,0.98,Concentration_Ramp,Conformational_Shift,Complex_Attractor,0.001,0.0001,-5707.691908136799,0.8636363636363635,-0.03284471394856979
