timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,latent_prediction_energy,reconstruction_variance,future_state_entropy,predicted_coherence
t15,Uncalibrated,0.95,0.05,0.049,0.95,0.35428571428571426,Gradient_Step,Latent_Alignment,High_Variance_State,4.5,9.8,0.95,0.05
t16,JEPA_Energy_Minimization,0.95,0.05,0.049,0.95,0.3710204081632653,Gradient_Step,Latent_Alignment,Energy_Valley,4.5,9.8,0.95,0.05
t17,JEPA_Energy_Minimization,0.9073684210526315,0.0968421052631579,0.09490526315789474,0.9031578947368422,0.3877551020408163,Gradient_Step,Latent_Alignment,Energy_Valley,4.271052631578947,9.286842105263158,0.9073684210526315,0.0968421052631579
t18,JEPA_Energy_Minimization,0.8647368421052631,0.14368421052631578,0.14081052631578947,0.8563157894736843,0.4044897959183673,Gradient_Step,Latent_Alignment,Energy_Valley,4.042105263157895,8.773684210526316,0.8647368421052631,0.14368421052631578
t19,JEPA_Energy_Minimization,0.8221052631578947,0.19052631578947365,0.18671578947368417,0.8094736842105263,0.42122448979591837,Gradient_Step,Latent_Alignment,Energy_Valley,3.8131578947368423,8.260526315789473,0.8221052631578947,0.19052631578947365
t20,JEPA_Energy_Minimization,0.7794736842105263,0.23736842105263156,0.23262105263157892,0.7626315789473684,0.43795918367346937,Gradient_Step,Latent_Alignment,Energy_Valley,3.5842105263157897,7.747368421052633,0.7794736842105263,0.23736842105263156
t21,JEPA_Energy_Minimization,0.7368421052631579,0.2842105263157894,0.2785263157894736,0.7157894736842105,0.4546938775510204,Gradient_Step,Latent_Alignment,Energy_Valley,3.355263157894737,7.23421052631579,0.7368421052631579,0.2842105263157894
t22,JEPA_Energy_Minimization,0.6942105263157894,0.3310526315789473,0.32443157894736835,0.6689473684210527,0.4714285714285714,Gradient_Step,Latent_Alignment,Energy_Valley,3.126315789473684,6.721052631578948,0.6942105263157894,0.3310526315789473
t23,JEPA_Energy_Minimization,0.651578947368421,0.37789473684210517,0.3703368421052631,0.6221052631578948,0.4881632653061224,Gradient_Step,Latent_Alignment,Energy_Valley,2.8973684210526316,6.207894736842105,0.651578947368421,0.37789473684210517
t24,JEPA_Energy_Minimization,0.6089473684210527,0.4247368421052631,0.4162421052631578,0.5752631578947369,0.5048979591836735,Gradient_Step,Latent_Alignment,Energy_Valley,2.668421052631579,5.6947368421052635,0.6089473684210527,0.4247368421052631
t25,JEPA_Energy_Minimization,0.5663157894736842,0.471578947368421,0.4621473684210526,0.528421052631579,0.5216326530612245,Gradient_Step,Latent_Alignment,Energy_Valley,2.4394736842105265,5.181578947368421,0.5663157894736842,0.471578947368421
t26,JEPA_Energy_Minimization,0.5236842105263158,0.5184210526315789,0.5080526315789473,0.4815789473684211,0.5383673469387755,Gradient_Step,Latent_Alignment,Energy_Valley,2.210526315789474,4.6684210526315795,0.5236842105263158,0.5184210526315789
t27,JEPA_Energy_Minimization,0.4810526315789474,0.5652631578947368,0.5539578947368421,0.4347368421052632,0.5551020408163265,Gradient_Step,Latent_Alignment,Energy_Valley,1.9815789473684213,4.155263157894737,0.4810526315789474,0.5652631578947368
t28,JEPA_Energy_Minimization,0.43842105263157893,0.6121052631578947,0.5998631578947368,0.3878947368421053,0.5718367346938775,Gradient_Step,Latent_Alignment,Energy_Valley,1.7526315789473683,3.6421052631578945,0.43842105263157893,0.6121052631578947
t29,JEPA_Energy_Minimization,0.3957894736842106,0.6589473684210526,0.6457684210526315,0.3410526315789474,0.5885714285714285,Gradient_Step,Latent_Alignment,Energy_Valley,1.5236842105263158,3.128947368421053,0.3957894736842106,0.6589473684210526
t30,JEPA_Energy_Minimization,0.3531578947368421,0.7057894736842104,0.6916736842105262,0.2942105263157896,0.6053061224489795,Gradient_Step,Latent_Alignment,Energy_Valley,1.2947368421052632,2.6157894736842104,0.3531578947368421,0.7057894736842104
t31,JEPA_Energy_Minimization,0.31052631578947376,0.7526315789473683,0.7375789473684209,0.24736842105263168,0.6220408163265306,Gradient_Step,Latent_Alignment,Energy_Valley,1.0657894736842106,2.102631578947369,0.31052631578947376,0.7526315789473683
t32,JEPA_Energy_Minimization,0.2678947368421053,0.7994736842105262,0.7834842105263157,0.20052631578947377,0.6387755102040816,Gradient_Step,Latent_Alignment,Energy_Valley,0.836842105263158,1.5894736842105264,0.2678947368421053,0.7994736842105262
t33,JEPA_Energy_Minimization,0.22526315789473683,0.8463157894736841,0.8293894736842105,0.15368421052631587,0.6555102040816326,Gradient_Step,Latent_Alignment,Energy_Valley,0.6078947368421055,1.076315789473684,0.22526315789473683,0.8463157894736841
t34,JEPA_Energy_Minimization,0.18263157894736848,0.893157894736842,0.8752947368421052,0.10684210526315796,0.6722448979591836,Gradient_Step,Latent_Alignment,Energy_Valley,0.3789473684210529,0.5631578947368414,0.18263157894736848,0.893157894736842
t35,JEPA_Energy_Minimization,0.14,0.94,0.9211999999999999,0.06000000000000005,0.6889795918367346,Gradient_Step,Latent_Alignment,Energy_Valley,0.15,0.05,0.14,0.94
t36,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.7057142857142857,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t37,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.7224489795918367,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t38,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.7391836734693877,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t39,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.7559183673469387,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t40,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.7726530612244897,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t41,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.7893877551020408,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t42,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.8061224489795918,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t43,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.8228571428571428,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t44,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.8395918367346938,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t45,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.8563265306122448,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t46,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.8730612244897958,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t47,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.889795918367347,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t48,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.906530612244898,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t49,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.923265306122449,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
t50,Optimal_Latent_Predictor,0.1,0.96,0.9408,0.040000000000000036,0.94,Gradient_Step,Latent_Alignment,JEPA_Optimal_Basin,0.12,0.02,0.1,0.96
